"Table 1015. Retail Trade and Food Services--Sales, by Kind of Business:1995 to 2006",,,,,,,,,,,,,
,,,,,,,,,,,,,
See notes,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"2002 NAICS code \1",,,,,,,,,,,,
Kind of Business,,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
,,,,, , ,,,,,,,
,,(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions),(millions)
"    Retail sales and food services, total","44, 45, 722",2456.129,2609.561,2732.043,2859.332,3093.569,3294.217,3385.577,3466.136,3615.17,3846.316,4088.031,4330.457
      Total (excluding motor vehicle and parts dealers),,1875.287,1980.874,2077.03,2169.653,2328.02,2496.649,2568.636,2645.867,2773.955,2981.775,3199.724,3429.345
,,,,,,,,,,,,,
"  Retail sales, total","44, 45",2222.504,2366.665,2474.003,2587.105,2808.556,2988.756,3067.725,3134.322,3265.477,3474.34,3693.43,3904.305
"    Retail sales, total (excluding motor vehicle and parts dealers) ","44, 45",1641.662,1737.978,1818.99,1897.426,2043.007,2191.188,2250.784,2314.053,2424.262,2609.799,2805.123,3003.193
,,,,,,,,,,,,,
"GAFO, total \2",,651.071,683.678,714.453,759.063,816.827,863.903,883.866,913.925,948.246,1007.195,1065.523,1129.437
,,,,,,,,,,,,,
Motor vehicle and parts dealers,441,580.842,628.687,655.013,689.679,765.549,797.568,816.941,820.269,841.215,864.541,888.307,901.112
  Automobile and other motor vehicle dealers,"4411, 4412",528.722,572.902,596.25,629.449,702.65,733.875,755.592,757.354,776.62,797.292,816.934,827.4
    Automobile dealers,4411,502.482,544.789,565.509,594.4,662.768,688.733,708.623,707.675,721.032,734.729,749.989,761.542
      New car dealers,44111,464.642,502.34,518.972,542.559,606.167,630.123,649.413,645.759,656.885,665.894,675.726,683.059
      Used cars dealers,44112,37.84,42.449,46.537,51.841,56.601,58.61,59.21,61.916,64.147,68.835,74.263,78.483
"  Auto parts, accessories, and tire stores",4413,52.12,55.785,58.763,60.23,62.899,63.693,61.349,62.915,64.595,67.249,71.373,73.712
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Furniture, home furnishings, electronics and appliance stores","442, 443",128.52,136.363,143.074,152.255,163.589,173.691,172.039,178.507,184.485,200.114,214.579,230.168
  Furniture and home furnishings stores,442,63.601,67.848,72.863,77.569,84.451,91.328,91.644,94.61,97.528,105.303,112.403,121.19
    Furniture stores,4421,37.034,39.231,41.945,44.182,47.094,50.689,50.646,51.342,52.07,56.476,60.293,63.886
    Home furnishings stores,4422,26.567,28.617,30.918,33.387,37.357,40.639,40.998,43.268,45.458,48.827,52.11,57.304
,,,,,,,,,,,,,
"  Electronics and appliance stores \3",443,64.919,68.515,70.211,74.686,79.138,82.363,80.395,83.897,86.957,94.811,102.176,108.978
"    Appliances, T.V., and other electronics stores ",44311,42.142,43.31,43.06,46.655,52.228,58.26,60.245,63.343,66.129,72.247,77.531,83.992
      Household appliance stores,443111,9.986,10.221,10.38,11.105,12.088,12.636,13.485,14.211,14.524,15.725,17.035,18.071
